"StudentID","DailyAvgScreenTime","DailyAvgSocialMediaTime","DailyAvgVideoTime","DailyAvgGameTime","DailyAvgBedtimePhoneTime","DailyAvgUnlockCount","DailyAvgSleepDuration","ImpactOnAcademic","ImpactOnSleep","AnxietyWithoutPhone"
S025,12.3,4.0,2.7,2.4,95.0,118,7.6,3,3,3
S026,13.4,6.5,3.2,2.4,81.0,145,6.1,4,3,5
S027,10.3,3.1,2.6,3.4,89.0,102,6.9,2,3,3
S028,12.2,3.9,4.3,0.7,98.0,118,7.5,2,3,5
S029,9.4,4.4,2.5,1.2,101.0,102,6.8,3,3,4
S030,11.5,4.2,4.3,1.4,83.0,131,7.6,3,3,4
S031,11.2,5.3,2.0,2.1,88.0,93,6.5,3,3,4
S032,9.6,4.9,2.0,0.9,73.0,99,7.2,2,2,4
S033,9.6,4.4,2.7,0.4,46.0,107,7.2,2,1,4
S034,10.6,4.9,3.5,0.9,78.0,95,6.8,2,3,4
S035,11.6,5.2,3.7,0.1,70.0,113,6.2,3,2,3
S036,11.6,5.9,3.4,0.4,110.0,127,6.1,3,3,4
S037,8.1,4.2,2.2,0.0,62.0,81,6.6,2,2,3
S038,12.3,5.3,4.3,1.2,84.0,112,6.3,2,2,4
S039,11.6,6.3,2.8,0.9,73.0,118,6.3,4,2,4
S040,9.9,4.4,3.4,0.6,86.0,96,6.3,3,3,3
S041,8.1,3.5,1.9,1.5,55.0,89,7.4,1,2,3
S042,12.5,4.4,3.1,3.0,67.0,143,7.3,3,3,3
S043,13.5,7.5,1.4,1.9,68.0,153,5.8,3,2,4
S044,7.9,4.5,0.9,1.7,46.0,92,5.8,3,2,3
S045,13.9,5.7,3.3,2.2,94.0,130,6.5,3,4,4
S046,10.3,5.6,3.1,1.0,58.0,112,7.2,3,2,4
S047,9.9,4.8,2.3,1.1,54.0,108,7.0,3,2,3
S048,10.2,3.4,2.4,2.8,70.0,115,7.5,3,2,3
S049,11.3,5.3,2.4,2.6,75.0,122,6.7,3,2,4
S050,9.1,4.0,2.8,0.6,75.0,90,6.9,2,2,4
S051,13.6,4.0,4.5,3.4,89.0,144,6.3,2,3,4
S052,8.8,4.3,2.3,0.8,69.0,110,6.3,2,2,4
S053,10.6,6.1,2.8,0.8,75.0,100,5.9,3,2,5
S054,10.1,5.4,1.0,1.9,64.0,90,6.6,3,3,4
S055,8.8,4.7,2.9,0.7,71.0,101,7.0,3,2,4
S056,7.5,5.4,3.0,0.0,69.0,101,7.3,3,2,4
S057,11.4,5.9,2.6,3.0,94.0,95,6.1,3,2,4
S058,12.3,4.6,2.3,3.4,92.0,133,6.2,3,3,3
S059,10.6,5.2,3.0,0.7,65.0,99,6.4,3,3,4
S060,11.8,5.4,2.1,2.4,97.0,127,6.2,3,3,4
S061,11.1,5.4,2.2,2.4,80.0,107,6.1,4,2,4
S062,8.9,4.1,3.5,0.0,70.0,110,6.5,3,2,3
S063,10.6,6.7,2.1,0.3,73.0,130,6.7,4,2,5
S064,11.6,4.3,3.5,1.9,63.0,115,7.4,3,2,4
S065,9.6,5.9,2.2,0.6,58.0,94,6.8,3,1,4
S066,10.4,5.8,2.7,0.0,71.0,104,6.3,4,3,4
S067,11.9,7.0,2.1,0.0,80.0,127,6.4,4,3,4
S068,13.7,7.2,3.0,1.2,75.0,134,5.5,3,2,4
S069,10.4,6.5,2.6,0.8,87.0,107,6.0,3,4,3
S070,12.1,5.5,4.0,0.8,102.0,119,5.9,2,2,3
S071,7.1,2.9,2.3,0.3,50.0,78,7.0,2,3,2
S072,12.7,5.6,3.2,2.2,116.0,127,6.5,3,3,4
S073,15.0,5.5,4.6,2.6,75.0,141,6.7,4,3,4
S074,13.9,6.7,2.2,3.5,115.0,129,6.8,4,3,4
S075,10.2,4.8,1.6,0.9,76.0,120,6.7,2,2,5
S076,9.0,4.7,2.4,0.0,65.0,101,6.4,3,2,3
S077,10.8,5.6,2.8,1.9,57.0,127,6.5,3,3,5
S078,11.7,5.0,1.8,2.5,82.0,133,6.8,3,3,5
S079,12.3,6.1,2.9,1.0,68.0,121,6.9,4,2,4
S080,9.8,6.2,2.5,1.4,58.0,119,6.7,3,2,5
S081,8.7,3.2,2.4,2.4,98.0,100,7.1,3,3,4
S082,13.9,5.0,3.5,2.3,101.0,147,6.5,3,3,4
S083,10.6,5.8,3.0,1.0,79.0,117,6.0,3,2,3
S084,9.9,3.2,2.8,2.5,86.0,116,6.7,2,3,4
S085,11.7,4.6,4.1,2.0,76.0,123,6.9,2,3,3
S086,12.9,4.3,2.8,3.3,122.0,143,6.2,2,3,5
S087,10.3,3.5,2.4,2.3,93.0,126,6.6,4,3,3
S088,8.9,4.4,2.8,0.4,61.0,106,6.8,3,2,4
S089,12.9,5.9,4.0,2.0,60.0,148,6.5,2,3,4
S090,11.7,5.7,3.9,0.0,84.0,117,6.1,3,2,5
S091,13.0,6.1,2.5,2.2,93.0,115,7.2,4,3,4
S092,11.0,5.1,1.2,3.1,73.0,129,7.2,2,3,3
S093,10.5,4.8,2.2,2.5,91.0,121,6.2,2,2,3
S094,13.0,5.6,2.8,3.8,111.0,135,7.5,3,3,4
S095,9.4,4.3,3.1,0.7,68.0,93,6.7,3,3,2
S096,10.3,5.1,3.1,1.3,71.0,100,7.0,3,3,3
S097,6.8,4.8,1.5,0.0,52.0,92,7.2,3,2,4
S098,9.5,5.8,2.5,0.0,82.0,84,6.3,4,2,4
S099,11.1,5.6,2.1,2.0,90.0,94,6.2,3,3,4
S100,13.0,7.1,1.8,3.2,78.0,145,7.0,4,3,4
S101,10.8,5.3,1.9,1.6,56.0,137,7.1,3,2,4
S102,15.6,4.8,5.5,3.2,107.0,172,6.3,3,2,5
S103,10.1,4.1,3.5,1.4,74.0,119,7.7,3,3,4
S104,11.1,6.0,1.5,3.2,88.0,115,6.8,4,2,3
S105,13.8,7.4,1.3,2.8,120.0,152,5.6,4,4,5
S106,10.7,6.7,3.1,0.0,85.0,115,7.0,3,3,4
S107,12.3,5.2,3.5,1.1,61.0,112,7.5,3,1,4
S108,10.7,5.1,2.5,2.2,68.0,123,7.0,3,3,4
S109,11.6,3.7,3.5,2.6,91.0,119,7.3,2,2,4
S110,9.9,4.6,1.8,2.3,77.0,110,6.3,3,2,4
S111,9.0,4.2,2.2,0.5,105.0,97,7.0,2,3,3
S112,10.7,5.4,3.5,0.8,92.0,117,7.6,3,3,4
S113,10.5,5.3,2.7,1.3,67.0,121,6.7,3,2,4
S114,11.0,4.8,2.5,1.3,80.0,116,6.8,3,2,4
S115,13.0,5.7,4.3,2.0,129.0,121,6.1,4,3,4
S116,11.2,7.3,2.7,0.8,58.0,113,6.6,4,3,4
S117,11.6,5.5,3.3,1.4,101.0,129,6.5,3,3,3
S118,7.9,4.2,2.3,0.6,58.0,77,7.2,2,2,3
S119,9.3,6.5,0.5,1.3,61.0,97,7.0,4,2,4
S120,9.9,4.0,3.1,1.3,92.0,121,6.3,3,3,4
S121,10.1,5.1,2.3,1.3,63.0,107,6.8,4,3,2
S122,13.0,5.6,2.1,3.8,120.0,128,6.4,3,4,4
S123,11.6,5.3,2.0,2.9,66.0,122,6.6,3,2,3
S124,12.5,4.9,3.9,2.3,105.0,124,6.9,4,2,4
S125,13.0,4.9,3.7,1.9,68.0,144,7.4,3,1,3
S126,9.2,4.9,3.0,0.6,47.0,103,7.2,3,3,4
S127,11.4,3.7,2.9,2.0,77.0,126,7.1,2,2,4
S128,8.7,4.6,1.4,0.7,42.0,91,7.1,3,2,3
S129,11.7,5.8,3.2,1.7,82.0,118,5.6,3,3,4
S130,11.3,5.7,1.4,3.0,81.0,113,7.1,2,2,4
S131,12.0,4.7,3.3,1.7,83.0,132,5.9,3,2,3
S132,8.3,3.4,1.8,1.7,59.0,101,7.3,2,2,3
S133,10.4,6.9,1.3,0.4,79.0,97,6.1,5,3,3
S134,12.3,5.6,3.0,1.4,71.0,127,7.1,3,2,3
S135,7.7,5.6,1.9,0.1,66.0,88,6.9,4,2,4
S136,12.2,6.0,3.3,0.9,86.0,112,7.0,3,2,4
S137,10.9,4.8,3.2,0.7,95.0,126,6.0,3,2,4
S138,11.5,4.9,2.7,1.4,76.0,88,6.6,2,3,4
S139,9.5,3.8,2.6,1.6,53.0,113,7.2,3,3,3
S140,15.1,6.8,2.2,2.9,102.0,141,6.4,5,2,5
S141,10.1,5.2,4.1,0.3,82.0,119,6.7,3,3,4
S142,10.0,5.4,3.5,0.7,67.0,125,6.8,4,2,4
S143,11.7,5.8,2.5,1.3,80.0,120,6.8,2,3,4
S144,10.1,6.2,2.2,0.8,93.0,107,6.0,3,3,4
S145,8.8,4.1,3.3,0.2,77.0,92,6.6,2,3,3
S146,9.4,5.4,2.3,0.0,90.0,124,6.8,2,2,4
S147,13.1,6.7,4.0,1.9,70.0,148,7.0,3,3,4
S148,14.2,6.9,5.3,0.8,105.0,138,5.8,3,3,4
S149,11.7,5.4,2.0,1.4,72.0,101,6.6,4,3,4
S150,12.0,5.1,2.9,2.2,104.0,142,7.0,4,2,5
S151,11.7,5.3,2.8,1.1,104.0,138,6.7,3,3,5
S152,12.5,6.4,4.4,0.7,104.0,141,7.4,3,2,4
S153,10.6,4.5,2.9,1.4,52.0,100,7.0,4,3,4
S154,10.6,4.7,3.0,1.2,79.0,122,6.7,3,3,4
S155,13.4,5.3,5.3,2.0,90.0,145,7.2,3,2,4
S156,9.7,5.2,3.6,0.2,61.0,108,7.9,3,2,4
S157,11.8,4.7,3.4,1.4,83.0,123,6.7,4,2,3
S158,9.0,3.8,3.2,0.7,64.0,101,7.1,2,3,4
S159,9.9,5.6,2.9,0.2,70.0,121,7.6,4,3,3
S160,10.2,3.6,3.0,1.8,74.0,127,6.7,2,3,3
S161,10.7,4.1,3.3,1.5,82.0,107,6.8,3,1,4
S162,9.8,3.9,3.4,0.4,79.0,109,6.7,3,2,3
S163,12.4,6.2,3.1,2.5,75.0,116,6.6,4,2,3
S164,8.6,5.7,1.6,0.5,85.0,81,7.4,4,2,3
S165,11.2,5.8,4.0,0.3,55.0,75,6.6,2,2,4
S166,14.3,6.6,3.9,2.3,108.0,157,6.4,4,3,4
S167,9.9,5.2,2.4,0.8,82.0,109,7.1,4,2,4
S168,10.9,5.0,1.9,1.5,83.0,115,7.0,4,2,4
S169,14.3,7.0,2.2,2.4,103.0,159,6.0,4,3,4
S170,10.7,5.1,2.0,2.4,93.0,112,7.1,2,3,4
S171,9.7,3.5,2.9,2.7,71.0,102,6.9,2,3,3
S172,10.3,4.8,2.7,0.5,82.0,121,6.4,2,3,4
S173,11.3,5.7,1.7,3.0,88.0,137,7.2,3,2,4
S174,9.0,3.7,2.7,0.6,42.0,125,7.4,3,2,4
S175,10.7,5.7,2.0,1.9,100.0,106,5.9,3,2,3
S176,13.5,6.7,3.8,2.1,96.0,132,5.9,3,3,5
S177,12.6,4.7,3.1,1.8,90.0,151,6.5,3,2,4
S178,11.7,7.4,1.3,2.0,85.0,108,6.7,4,3,5
S179,10.8,4.9,3.2,1.7,91.0,108,6.3,4,2,3
S180,11.1,5.6,2.3,2.1,78.0,139,6.2,3,3,4
S181,10.4,3.8,3.5,0.9,56.0,112,6.8,2,2,3
S182,11.4,5.8,1.8,1.3,84.0,122,6.8,3,2,4
S183,13.7,5.2,2.6,3.4,75.0,153,6.8,3,2,4
S184,10.1,5.9,2.2,0.0,86.0,120,6.8,1,3,5
S185,8.6,4.4,2.4,0.5,63.0,91,6.9,2,1,4
S186,9.0,5.0,2.0,1.5,68.0,97,7.7,2,2,3
S187,14.4,6.6,4.4,2.8,81.0,121,7.4,3,2,5
S188,11.9,4.8,2.7,2.3,66.0,138,6.9,2,2,3
S189,11.1,3.4,2.2,3.0,100.0,116,5.9,2,2,4
S190,14.3,5.2,3.3,3.2,103.0,153,6.3,4,3,4
S191,9.4,3.2,3.0,1.6,58.0,107,7.5,3,3,3
S192,12.7,7.5,2.3,0.8,109.0,129,6.1,4,3,5
S193,7.6,5.1,1.6,1.2,41.0,106,7.3,3,3,4
S194,5.6,4.3,0.5,0.4,46.0,68,7.6,2,2,3
S195,11.1,4.5,4.2,0.4,60.0,140,7.1,3,2,4
S196,11.8,4.5,4.0,0.6,66.0,121,6.6,2,2,3
S197,14.5,7.8,3.4,1.4,114.0,152,5.8,5,2,4
S198,12.3,4.7,2.7,1.6,85.0,121,8.2,2,3,3
S199,10.0,4.4,4.0,0.8,60.0,105,6.9,2,2,3
S200,8.8,4.4,2.0,0.8,68.0,92,7.5,3,2,4
S201,11.0,4.1,2.6,3.3,53.0,111,6.9,3,2,2
S202,11.5,5.8,2.5,1.2,68.0,122,6.7,4,3,4
S203,6.3,3.0,2.0,1.5,70.0,66,6.7,2,2,2
S204,9.2,4.4,0.5,1.9,44.0,91,7.4,4,1,2
S205,11.5,4.6,2.2,2.3,74.0,117,7.1,3,2,4
S206,9.6,5.9,2.4,0.2,58.0,112,6.7,4,3,5
S207,14.5,4.8,4.0,3.7,100.0,122,6.3,3,3,4
S208,16.0,7.0,3.7,2.9,119.0,179,5.9,5,3,5
S209,8.5,5.4,1.9,0.0,70.0,126,7.0,3,3,4
S210,13.0,4.1,5.0,2.2,71.0,154,6.5,2,2,4
S211,9.5,5.2,2.0,0.7,87.0,134,6.9,3,2,4
S212,8.8,4.2,3.2,0.7,75.0,80,6.2,2,3,3
S213,13.8,5.2,2.7,2.4,95.0,144,7.4,3,2,4
S214,10.7,5.7,1.5,2.0,64.0,104,6.9,4,3,4
S215,10.8,5.0,3.2,1.2,87.0,104,6.7,2,2,3
S216,11.6,6.1,3.1,1.1,80.0,118,6.7,3,3,4
S217,11.9,5.4,4.0,1.2,90.0,114,6.5,3,3,3
S218,8.4,5.3,1.9,0.7,70.0,96,7.4,3,2,3
S219,8.6,3.2,1.7,0.9,85.0,94,6.3,3,3,3
S220,12.8,5.5,2.9,0.6,89.0,118,6.9,4,2,4
S221,12.0,5.1,2.6,2.5,78.0,115,7.0,3,3,3
S222,10.4,3.9,3.3,1.4,81.0,111,7.3,2,3,4
S223,13.0,6.6,3.6,0.7,77.0,130,7.1,3,2,5
S224,9.9,6.9,1.7,0.2,61.0,96,6.7,4,2,4
S225,7.8,4.0,1.7,0.8,78.0,112,6.1,4,3,4
S226,13.5,6.0,3.4,3.0,93.0,124,6.6,3,3,4
S227,10.8,5.1,3.1,1.8,125.0,99,6.2,3,3,4
S228,12.7,6.0,3.8,1.9,106.0,130,6.2,4,2,4
S229,10.5,4.7,3.5,0.1,62.0,105,6.1,2,3,3
S230,9.6,4.5,2.2,1.4,49.0,115,7.7,3,2,3
S231,7.5,3.9,2.0,0.0,67.0,87,7.1,2,3,4
S232,10.6,5.9,2.4,1.3,73.0,112,7.1,2,3,4
S233,8.3,5.3,3.0,0.7,60.0,115,7.1,4,2,3
S234,10.5,3.5,2.8,2.4,77.0,119,7.0,2,3,3
S235,10.7,5.2,3.5,0.0,82.0,99,7.1,3,2,4
S236,12.8,5.7,2.6,3.0,102.0,128,6.9,2,3,5
S237,7.7,4.6,0.6,0.6,41.0,107,7.0,3,1,4
S238,9.8,3.9,2.5,1.2,82.0,106,7.0,2,3,3
S239,13.7,7.5,4.3,0.5,91.0,118,6.2,4,2,5
S240,12.0,3.6,4.5,2.2,76.0,138,7.4,2,2,3
S241,13.3,5.1,2.9,2.5,89.0,148,6.7,4,2,4
S242,8.2,5.8,1.5,0.7,64.0,121,6.7,4,2,4
S243,12.8,6.2,4.1,0.8,104.0,134,5.9,3,3,4
S244,13.2,6.9,1.9,3.5,60.0,158,7.4,3,2,5
S245,11.4,5.1,3.0,2.6,98.0,109,6.8,2,3,3
S246,13.0,6.0,3.1,2.1,107.0,117,6.7,4,2,4
S247,11.2,5.7,3.1,0.7,71.0,91,7.0,3,1,4
S248,11.3,5.8,2.4,1.2,85.0,103,6.2,3,2,3
S249,15.3,4.9,4.5,4.7,101.0,149,6.5,4,3,4
S250,13.7,6.2,3.5,1.5,82.0,146,6.6,4,4,4
S251,11.7,5.9,2.1,3.1,94.0,117,5.7,3,3,5
S252,13.6,6.1,3.5,1.2,111.0,138,6.9,4,3,4
S253,11.1,5.3,3.5,1.6,106.0,108,6.9,3,2,4
S254,13.3,6.0,2.4,1.9,87.0,137,7.1,2,3,4
S255,9.4,3.9,2.5,2.0,74.0,115,6.4,2,2,4
S256,12.0,5.6,3.6,0.1,96.0,113,6.9,4,3,5
S257,12.8,6.4,3.5,0.7,94.0,128,6.6,4,1,4
S258,13.0,4.9,3.1,2.7,91.0,142,7.1,3,4,4
S259,14.6,6.8,4.6,2.4,96.0,153,6.8,4,3,5
S260,13.2,7.5,3.3,0.1,93.0,133,5.6,4,3,4
S261,10.4,4.6,3.0,0.0,78.0,115,7.5,2,3,4
S262,11.7,5.0,4.3,1.3,54.0,136,6.6,3,2,4
S263,11.6,6.3,2.7,0.5,74.0,130,6.2,3,2,3
S264,12.8,5.2,2.8,1.7,76.0,155,6.6,4,3,5
S265,12.0,6.2,3.0,1.6,88.0,126,6.4,3,3,5
S266,9.1,4.8,2.1,0.5,74.0,97,6.1,2,3,3
S267,12.8,6.6,2.7,2.2,123.0,124,5.8,4,2,4
S268,12.1,5.8,3.7,1.0,90.0,122,7.0,3,3,3
S269,11.1,5.8,3.4,1.0,66.0,116,6.8,4,2,4
S270,10.0,6.6,2.1,0.7,83.0,98,6.7,4,3,5
S271,12.4,6.8,1.5,0.9,78.0,127,6.5,3,2,4
S272,13.1,7.3,2.7,0.6,74.0,115,6.5,3,3,4
S273,9.0,2.6,2.8,2.2,67.0,114,6.8,1,2,3
S274,8.3,1.8,3.7,2.1,70.0,103,7.5,2,3,3
S275,9.9,4.8,1.7,1.8,85.0,105,6.7,2,3,3
S276,10.8,4.1,2.8,1.6,64.0,116,7.2,3,2,4
S277,13.2,4.4,3.9,3.1,96.0,120,7.2,4,2,3
S278,5.3,2.8,1.0,0.1,43.0,78,7.0,2,2,3
S279,11.7,5.8,2.1,3.2,71.0,127,6.6,4,3,4
S280,8.7,4.4,0.7,0.7,53.0,80,7.3,2,3,4
S281,10.6,3.9,2.5,0.1,86.0,121,7.5,2,3,3
S282,13.8,6.8,2.5,1.5,94.0,145,5.4,3,3,4
S283,9.4,5.4,1.1,1.2,76.0,85,6.6,2,2,3
S284,11.1,4.7,2.6,0.8,106.0,100,7.5,3,3,4
S285,9.7,5.5,3.2,0.5,97.0,115,7.4,3,3,5
S286,10.6,4.8,3.1,1.7,115.0,131,5.9,3,3,4
S287,16.0,6.3,4.6,3.1,111.0,149,5.5,3,2,5
S288,14.1,6.6,3.9,2.0,102.0,141,6.6,4,2,5
S289,10.1,4.6,2.7,1.1,89.0,127,6.8,2,3,4
S290,7.4,4.0,2.2,0.0,49.0,68,7.5,2,2,3
S291,11.6,4.5,2.6,2.0,95.0,129,7.0,3,3,4
S292,8.1,4.0,3.1,1.3,60.0,114,7.3,3,2,3
S293,9.0,4.2,2.4,0.9,64.0,115,7.0,2,3,5
S294,10.1,4.3,3.6,1.2,81.0,117,7.1,3,3,4
S295,12.9,5.2,2.7,3.8,84.0,130,6.4,3,3,4
S296,9.3,3.2,2.2,1.5,50.0,103,7.4,2,2,3
S297,13.0,5.9,3.4,1.6,111.0,123,6.7,4,3,3
S298,8.7,3.2,2.3,0.9,88.0,99,6.5,3,3,4
S299,11.9,7.7,2.1,0.8,80.0,133,6.2,4,2,5
S300,15.9,7.2,3.2,1.8,104.0,155,6.5,3,2,5
